,Equation,Solution,Difficulty
0,4x + 4 = 32,x = 7,Easy
1,6x - 10 = 20,x = 5,Easy
2,5x + 5 = 45,x = 8,Easy
3,9x + 10 = 19,x = 1,Easy
4,2x - 8 = 8,x = 8,Easy
5,5x + 6 = 31,x = 5,Easy
6,9x + 3 = 39,x = 4,Easy
7,5x - 1 = 34,x = 7,Easy
8,8x + 3 = 35,x = 4,Easy
9,9x - 3 = 24,x = 3,Easy
10,6x - 9 = 21,x = 5,Easy
11,5x - 2 = 23,x = 5,Easy
12,2x + 8 = 20,x = 6,Easy
13,9x + 7 = 88,x = 9,Easy
14,7x - 1 = 34,x = 5,Easy
15,10x + 1 = 31,x = 3,Easy
16,10x + 6 = 86,x = 8,Easy
17,2x + 2 = 20,x = 9,Easy
18,1x + 4 = 5,x = 1,Easy
19,6x + 8 = 50,x = 7,Easy
20,8x + 4 = 52,x = 6,Easy
21,5x + 2 = 32,x = 6,Easy
22,5x - 9 = 41,x = 10,Easy
23,3x - 6 = 15,x = 7,Easy
24,7x + 10 = 80,x = 10,Easy
25,5x + 4 = 14,x = 2,Easy
26,10x - 6 = 74,x = 8,Easy
27,1x - 10 = -6,x = 4,Easy
28,5x + 9 = 19,x = 2,Easy
29,1x + 9 = 14,x = 5,Easy
30,6x + 2 = 32,x = 5,Easy
31,9x - 4 = 86,x = 10,Easy
32,7x - 5 = 16,x = 3,Easy
33,1x - 9 = -3,x = 6,Easy
34,6x + 2 = 38,x = 6,Easy
35,2x + 0 = 12,x = 6,Easy
36,3x - 9 = 6,x = 5,Easy
37,2x + 2 = 16,x = 7,Easy
38,7x - 2 = 68,x = 10,Easy
39,6x + 8 = 56,x = 8,Easy
41,10x - 2 = 38,x = 4,Easy
42,3x + 10 = 19,x = 3,Easy
43,3x + 0 = 3,x = 1,Easy
44,9x + 8 = 44,x = 4,Easy
45,4x + 3 = 43,x = 10,Easy
46,8x - 7 = 33,x = 5,Easy
47,10x + 6 = 56,x = 5,Easy
48,1x - 1 = 5,x = 6,Easy
49,1x - 3 = 7,x = 10,Easy
50,10x + 10 = 90,x = 8,Easy
51,10x - 10 = 80,x = 9,Easy
52,3x + 6 = 24,x = 6,Easy
53,9x - 5 = 22,x = 3,Easy
54,10x + 0 = 40,x = 4,Easy
55,10x - 8 = 12,x = 2,Easy
56,2x - 7 = 11,x = 9,Easy
57,2x + 0 = 8,x = 4,Easy
58,8x - 8 = 56,x = 8,Easy
59,10x + 3 = 103,x = 10,Easy
60,2x + 1 = 15,x = 7,Easy
61,2x - 2 = 18,x = 10,Easy
62,6x + 4 = 46,x = 7,Easy
63,10x - 8 = 32,x = 4,Easy
64,8x - 7 = 1,x = 1,Easy
65,8x - 9 = 55,x = 8,Easy
66,10x - 7 = 93,x = 10,Easy
67,7x + 3 = 52,x = 7,Easy
68,8x - 10 = 46,x = 7,Easy
69,7x - 8 = 62,x = 10,Easy
70,5x + 3 = 28,x = 5,Easy
72,4x + 6 = 30,x = 6,Easy
73,9x - 9 = 63,x = 8,Easy
74,10x + 0 = 80,x = 8,Easy
75,4x + 2 = 22,x = 5,Easy
76,3x - 6 = 24,x = 10,Easy
77,1x + 2 = 3,x = 1,Easy
78,7x + 8 = 50,x = 6,Easy
79,3x + 5 = 17,x = 4,Easy
80,7x - 1 = 13,x = 2,Easy
81,8x - 3 = 21,x = 3,Easy
84,3x + 6 = 15,x = 3,Easy
85,2x + 5 = 25,x = 10,Easy
86,10x - 1 = 19,x = 2,Easy
87,7x - 10 = 18,x = 4,Easy
88,5x - 10 = 5,x = 3,Easy
89,7x + 4 = 46,x = 6,Easy
90,5x + 10 = 35,x = 5,Easy
91,3x + 2 = 5,x = 1,Easy
92,10x + 9 = 79,x = 7,Easy
94,5x - 1 = 29,x = 6,Easy
95,10x - 7 = 63,x = 7,Easy
96,7x + 5 = 40,x = 5,Easy
97,10x + 4 = 44,x = 4,Easy
98,4x - 1 = 35,x = 9,Easy
99,5x + 9 = 14,x = 1,Easy
100,5x - 4 = 11,x = 3,Easy
101,3x - 4 = 20,x = 8,Easy
102,1x + 5 = 6,x = 1,Easy
104,1x + 4 = 12,x = 8,Easy
105,7x - 7 = 14,x = 3,Easy
106,6x + 6 = 12,x = 1,Easy
107,9x - 7 = 56,x = 7,Easy
109,7x - 8 = -1,x = 1,Easy
110,10x + 1 = 101,x = 10,Easy
111,9x - 2 = 61,x = 7,Easy
112,7x + 9 = 72,x = 9,Easy
113,6x + 3 = 9,x = 1,Easy
114,3x + 1 = 25,x = 8,Easy
115,10x - 6 = 64,x = 7,Easy
116,5x - 3 = 42,x = 9,Easy
117,6x + 5 = 47,x = 7,Easy
118,9x + 1 = 10,x = 1,Easy
120,3x - 10 = 2,x = 4,Easy
121,10x - 3 = 27,x = 3,Easy
122,4x + 10 = 26,x = 4,Easy
123,2x - 10 = 2,x = 6,Easy
124,7x + 9 = 16,x = 1,Easy
125,1x + 1 = 5,x = 4,Easy
126,9x - 9 = 27,x = 4,Easy
127,9x + 2 = 83,x = 9,Easy
128,7x - 6 = 43,x = 7,Easy
129,6x - 5 = 55,x = 10,Easy
130,9x + 4 = 94,x = 10,Easy
131,4x - 9 = 15,x = 6,Easy
132,9x + 6 = 42,x = 4,Easy
133,9x - 7 = 83,x = 10,Easy
134,8x + 7 = 79,x = 9,Easy
135,1x + 9 = 12,x = 3,Easy
136,7x + 9 = 51,x = 6,Easy
137,10x + 1 = 91,x = 9,Easy
138,9x + 6 = 78,x = 8,Easy
139,9x + 2 = 65,x = 7,Easy
140,6x - 7 = 11,x = 3,Easy
141,2x - 2 = 12,x = 7,Easy
142,10x - 9 = 71,x = 8,Easy
143,2x + 2 = 18,x = 8,Easy
144,5x + 10 = 55,x = 9,Easy
145,4x - 10 = 22,x = 8,Easy
146,9x + 5 = 59,x = 6,Easy
147,2x - 4 = -2,x = 1,Easy
148,7x + 9 = 65,x = 8,Easy
149,2x - 5 = 7,x = 6,Easy
150,10x - 10 = 0,x = 1,Easy
151,3x - 1 = 26,x = 9,Easy
152,10x - 8 = 62,x = 7,Easy
153,5x + 7 = 17,x = 2,Easy
155,1x - 7 = -6,x = 1,Easy
156,2x + 1 = 9,x = 4,Easy
157,8x + 9 = 25,x = 2,Easy
158,9x + 0 = 90,x = 10,Easy
159,4x - 6 = 30,x = 9,Easy
160,5x + 6 = 51,x = 9,Easy
161,4x + 3 = 7,x = 1,Easy
162,1x + 1 = 6,x = 5,Easy
163,7x + 7 = 21,x = 2,Easy
165,3x - 9 = 3,x = 4,Easy
166,6x + 1 = 19,x = 3,Easy
167,4x - 7 = 5,x = 3,Easy
168,10x - 9 = 21,x = 3,Easy
169,5x - 1 = 4,x = 1,Easy
171,7x + 7 = 70,x = 9,Easy
172,10x + 5 = 25,x = 2,Easy
173,10x + 4 = 104,x = 10,Easy
174,7x - 5 = 37,x = 6,Easy
175,2x - 8 = -2,x = 3,Easy
176,1x - 1 = 1,x = 2,Easy
177,7x - 5 = 30,x = 5,Easy
178,9x + 6 = 87,x = 9,Easy
179,5x + 8 = 43,x = 7,Easy
180,1x + 1 = 7,x = 6,Easy
181,3x - 4 = 5,x = 3,Easy
182,4x - 6 = 14,x = 5,Easy
183,1x + 8 = 16,x = 8,Easy
184,9x - 10 = 71,x = 9,Easy
185,5x + 1 = 6,x = 1,Easy
186,2x + 3 = 19,x = 8,Easy
188,4x + 0 = 8,x = 2,Easy
189,10x + 9 = 39,x = 3,Easy
191,8x + 7 = 31,x = 3,Easy
192,3x - 8 = 16,x = 8,Easy
193,3x + 4 = 10,x = 2,Easy
194,4x - 1 = 27,x = 7,Easy
195,1x + 5 = 13,x = 8,Easy
196,1x - 6 = -4,x = 2,Easy
197,2x + 4 = 20,x = 8,Easy
198,1x - 3 = -1,x = 2,Easy
199,1x - 8 = -4,x = 4,Easy
200,6x + 10 = 40,x = 5,Easy
201,3x - 9 = 0,x = 3,Easy
202,9x + 3 = 21,x = 2,Easy
203,8x + 6 = 86,x = 10,Easy
204,2x + 3 = 23,x = 10,Easy
205,3x - 3 = 12,x = 5,Easy
206,4x + 0 = 16,x = 4,Easy
207,3x + 7 = 19,x = 4,Easy
208,7x - 10 = 4,x = 2,Easy
209,7x - 4 = 52,x = 8,Easy
210,7x - 3 = 46,x = 7,Easy
212,6x - 10 = 32,x = 7,Easy
213,4x + 6 = 46,x = 10,Easy
214,6x - 1 = 53,x = 9,Easy
215,1x - 1 = 7,x = 8,Easy
216,10x + 10 = 60,x = 5,Easy
217,6x + 1 = 37,x = 6,Easy
219,7x - 8 = 48,x = 8,Easy
220,4x - 8 = 16,x = 6,Easy
221,5x + 2 = 27,x = 5,Easy
222,7x + 4 = 18,x = 2,Easy
223,10x - 4 = 36,x = 4,Easy
224,10x + 6 = 36,x = 3,Easy
225,10x + 8 = 78,x = 7,Easy
226,10x - 4 = 66,x = 7,Easy
227,6x + 2 = 20,x = 3,Easy
228,7x + 1 = 36,x = 5,Easy
230,8x + 4 = 36,x = 4,Easy
231,7x + 5 = 75,x = 10,Easy
232,7x + 4 = 11,x = 1,Easy
233,1x + 4 = 6,x = 2,Easy
234,2x - 4 = 10,x = 7,Easy
236,4x - 3 = 1,x = 1,Easy
237,1x + 8 = 10,x = 2,Easy
239,1x - 3 = 4,x = 7,Easy
241,7x - 3 = 53,x = 8,Easy
242,3x - 5 = 22,x = 9,Easy
243,1x - 3 = 5,x = 8,Easy
244,5x + 9 = 24,x = 3,Easy
245,5x - 8 = 42,x = 10,Easy
246,4x + 6 = 10,x = 1,Easy
247,9x + 8 = 26,x = 2,Easy
248,5x + 1 = 51,x = 10,Easy
249,8x + 5 = 77,x = 9,Easy
250,8x - 1 = 7,x = 1,Easy
252,6x + 0 = 24,x = 4,Easy
253,8x - 5 = 35,x = 5,Easy
254,2x - 7 = 13,x = 10,Easy
255,2x - 8 = 2,x = 5,Easy
256,5x - 8 = 27,x = 7,Easy
257,4x + 1 = 21,x = 5,Easy
258,8x + 6 = 70,x = 8,Easy
259,7x - 3 = 39,x = 6,Easy
260,1x - 1 = 3,x = 4,Easy
261,8x + 3 = 27,x = 3,Easy
262,3x - 5 = 4,x = 3,Easy
263,2x + 10 = 20,x = 5,Easy
264,8x + 9 = 33,x = 3,Easy
265,2x - 4 = 2,x = 3,Easy
267,4x + 0 = 24,x = 6,Easy
268,10x - 9 = 51,x = 6,Easy
269,5x - 5 = 30,x = 7,Easy
270,1x - 7 = -1,x = 6,Easy
271,4x + 6 = 14,x = 2,Easy
272,3x - 2 = 13,x = 5,Easy
273,9x - 6 = 84,x = 10,Easy
274,1x - 7 = 0,x = 7,Easy
275,8x + 8 = 56,x = 6,Easy
276,2x - 7 = 9,x = 8,Easy
277,7x - 5 = 58,x = 9,Easy
278,8x + 3 = 43,x = 5,Easy
279,10x - 1 = 59,x = 6,Easy
280,3x + 9 = 12,x = 1,Easy
281,4x + 1 = 41,x = 10,Easy
282,7x + 7 = 35,x = 4,Easy
283,1x - 9 = -7,x = 2,Easy
285,5x + 8 = 53,x = 9,Easy
286,8x + 10 = 18,x = 1,Easy
287,4x - 9 = -5,x = 1,Easy
288,10x - 6 = 24,x = 3,Easy
289,10x - 5 = 45,x = 5,Easy
290,6x - 8 = 46,x = 9,Easy
291,7x + 7 = 49,x = 6,Easy
292,8x - 6 = 42,x = 6,Easy
294,6x - 8 = 4,x = 2,Easy
295,5x - 6 = 44,x = 10,Easy
296,6x + 4 = 58,x = 9,Easy
297,8x + 5 = 53,x = 6,Easy
299,1x + 6 = 7,x = 1,Easy
300,6x + 17 = 35,x = 3,Medium
301,7x - 6 = -76,x = -10,Medium
302,6x + 5 = 65,x = 10,Medium
303,9x - 4 = -49,x = -5,Medium
304,12x - 4 = 44,x = 4,Medium
305,14x - 1 = -1,x = 0,Medium
306,13x - 9 = 95,x = 8,Medium
307,11x + 11 = -99,x = -10,Medium
308,7x - 6 = 29,x = 5,Medium
309,4x + 15 = -17,x = -8,Medium
310,6x - 6 = 48,x = 9,Medium
311,6x + 12 = -42,x = -9,Medium
312,9x + 13 = 40,x = 3,Medium
313,3x + 11 = -19,x = -10,Medium
314,2x - 13 = -13,x = 0,Medium
315,9x + 0 = 63,x = 7,Medium
316,6x + 4 = -8,x = -2,Medium
317,6x + 3 = 21,x = 3,Medium
318,8x - 14 = -70,x = -7,Medium
319,2x - 13 = 3,x = 8,Medium
320,14x + 13 = -85,x = -7,Medium
321,3x - 5 = -20,x = -5,Medium
322,7x - 6 = 22,x = 4,Medium
323,8x - 20 = -84,x = -8,Medium
324,3x - 7 = -31,x = -8,Medium
325,4x + 19 = 15,x = -1,Medium
326,2x + 11 = 13,x = 1,Medium
327,8x + 4 = -52,x = -7,Medium
328,8x + 5 = -75,x = -10,Medium
329,10x + 18 = 118,x = 10,Medium
330,14x - 2 = 124,x = 9,Medium
331,7x - 14 = -35,x = -3,Medium
332,7x + 0 = 56,x = 8,Medium
333,13x - 14 = 77,x = 7,Medium
334,15x + 5 = -70,x = -5,Medium
335,9x + 2 = 92,x = 10,Medium
336,7x - 13 = 43,x = 8,Medium
337,14x + 14 = -112,x = -9,Medium
338,6x - 6 = -66,x = -10,Medium
339,6x - 15 = -69,x = -9,Medium
340,10x - 6 = 74,x = 8,Medium
341,14x - 8 = -8,x = 0,Medium
342,5x + 18 = -2,x = -4,Medium
343,7x - 11 = -18,x = -1,Medium
344,3x - 6 = 6,x = 4,Medium
345,12x + 11 = -61,x = -6,Medium
346,4x + 7 = -1,x = -2,Medium
347,2x - 8 = -10,x = -1,Medium
348,9x - 18 = -54,x = -4,Medium
349,14x - 5 = 37,x = 3,Medium
350,13x - 2 = 37,x = 3,Medium
351,2x - 4 = 8,x = 6,Medium
352,3x + 5 = -25,x = -10,Medium
353,2x - 11 = 5,x = 8,Medium
354,11x + 13 = -86,x = -9,Medium
355,14x + 8 = 8,x = 0,Medium
356,5x - 4 = -39,x = -7,Medium
357,11x - 17 = -83,x = -6,Medium
358,4x - 12 = -24,x = -3,Medium
359,8x + 15 = 63,x = 6,Medium
360,5x - 9 = -44,x = -7,Medium
361,12x + 14 = -94,x = -9,Medium
362,5x - 18 = -28,x = -2,Medium
363,7x + 6 = 76,x = 10,Medium
364,10x - 5 = -75,x = -7,Medium
365,3x - 2 = -5,x = -1,Medium
366,10x + 19 = 39,x = 2,Medium
367,14x - 18 = -88,x = -5,Medium
368,5x - 19 = -69,x = -10,Medium
369,5x - 16 = -46,x = -6,Medium
370,6x + 3 = 9,x = 1,Medium
371,2x - 19 = -21,x = -1,Medium
372,6x + 17 = -25,x = -7,Medium
373,6x + 18 = 36,x = 3,Medium
374,14x - 4 = -32,x = -2,Medium
375,13x - 17 = 22,x = 3,Medium
376,12x + 12 = 96,x = 7,Medium
377,9x - 8 = 19,x = 3,Medium
378,3x - 3 = -24,x = -7,Medium
379,14x + 12 = 138,x = 9,Medium
380,7x - 9 = 19,x = 4,Medium
381,13x - 9 = -48,x = -3,Medium
382,3x - 13 = -37,x = -8,Medium
383,3x + 18 = 42,x = 8,Medium
384,6x - 19 = 35,x = 9,Medium
385,12x - 4 = 80,x = 7,Medium
386,2x - 2 = 2,x = 2,Medium
387,9x - 15 = -78,x = -7,Medium
388,15x + 5 = -145,x = -10,Medium
389,10x - 4 = -4,x = 0,Medium
390,5x - 20 = -70,x = -10,Medium
391,4x + 1 = 33,x = 8,Medium
392,14x - 14 = -28,x = -1,Medium
393,10x + 3 = 33,x = 3,Medium
394,11x - 5 = 94,x = 9,Medium
395,4x + 1 = 37,x = 9,Medium
396,4x + 19 = 11,x = -2,Medium
397,10x - 10 = 60,x = 7,Medium
398,11x + 4 = 103,x = 9,Medium
399,9x + 4 = 31,x = 3,Medium
400,6x + 15 = -3,x = -3,Medium
401,5x + 17 = -23,x = -8,Medium
402,11x + 10 = -56,x = -6,Medium
403,6x + 15 = -33,x = -8,Medium
404,13x + 4 = 134,x = 10,Medium
405,10x + 6 = -34,x = -4,Medium
406,14x + 19 = 33,x = 1,Medium
407,5x + 9 = -31,x = -8,Medium
408,6x - 10 = -34,x = -4,Medium
409,10x - 12 = 68,x = 8,Medium
410,9x + 18 = -36,x = -6,Medium
411,14x - 9 = -65,x = -4,Medium
412,4x + 7 = -17,x = -6,Medium
413,13x - 9 = -100,x = -7,Medium
414,8x + 4 = 12,x = 1,Medium
415,5x - 3 = -13,x = -2,Medium
416,10x - 18 = -8,x = 1,Medium
417,15x - 3 = -153,x = -10,Medium
418,6x - 11 = 43,x = 9,Medium
419,9x - 12 = 6,x = 2,Medium
420,9x - 1 = 62,x = 7,Medium
421,7x + 11 = 11,x = 0,Medium
422,6x + 11 = -37,x = -8,Medium
423,8x - 1 = -17,x = -2,Medium
424,10x - 3 = 7,x = 1,Medium
425,13x + 16 = -36,x = -4,Medium
426,11x - 2 = 75,x = 7,Medium
427,2x - 15 = -23,x = -4,Medium
428,12x + 9 = 117,x = 9,Medium
429,6x - 1 = 29,x = 5,Medium
430,4x + 2 = -18,x = -5,Medium
431,11x - 20 = 68,x = 8,Medium
432,12x + 14 = -10,x = -2,Medium
433,14x + 17 = 59,x = 3,Medium
434,15x - 2 = 58,x = 4,Medium
435,8x + 18 = 66,x = 6,Medium
436,6x - 10 = -46,x = -6,Medium
437,15x + 12 = -93,x = -7,Medium
438,14x + 4 = -10,x = -1,Medium
439,11x + 11 = -66,x = -7,Medium
440,7x + 15 = 36,x = 3,Medium
441,3x - 5 = 25,x = 10,Medium
442,8x - 11 = -11,x = 0,Medium
443,10x - 2 = 18,x = 2,Medium
444,8x + 10 = -70,x = -10,Medium
445,8x + 9 = 9,x = 0,Medium
446,9x + 17 = 26,x = 1,Medium
447,10x + 16 = -24,x = -4,Medium
448,8x - 2 = 30,x = 4,Medium
449,9x - 1 = -28,x = -3,Medium
450,6x - 5 = -35,x = -5,Medium
451,6x + 18 = -24,x = -7,Medium
452,13x - 13 = 117,x = 10,Medium
453,14x + 9 = -75,x = -6,Medium
454,7x - 13 = 50,x = 9,Medium
455,15x + 0 = -135,x = -9,Medium
456,15x + 20 = 5,x = -1,Medium
457,4x + 3 = 27,x = 6,Medium
458,2x + 17 = 35,x = 9,Medium
459,2x + 17 = 5,x = -6,Medium
460,14x + 14 = 98,x = 6,Medium
461,7x + 18 = 39,x = 3,Medium
462,14x - 14 = 0,x = 1,Medium
463,7x - 9 = -79,x = -10,Medium
464,9x - 12 = -57,x = -5,Medium
465,7x - 2 = -44,x = -6,Medium
466,9x - 13 = 41,x = 6,Medium
467,12x - 4 = -76,x = -6,Medium
468,13x - 2 = -132,x = -10,Medium
469,2x - 16 = -22,x = -3,Medium
470,6x - 16 = 2,x = 3,Medium
471,12x - 16 = 20,x = 3,Medium
472,8x - 14 = 42,x = 7,Medium
473,13x - 6 = -123,x = -9,Medium
474,9x + 11 = 2,x = -1,Medium
475,4x + 1 = 29,x = 7,Medium
476,13x - 13 = -104,x = -7,Medium
477,9x - 9 = 54,x = 7,Medium
478,11x - 4 = 29,x = 3,Medium
479,4x - 2 = -30,x = -7,Medium
480,8x + 11 = 19,x = 1,Medium
481,3x + 12 = -9,x = -7,Medium
482,10x - 8 = -58,x = -5,Medium
483,15x + 1 = -29,x = -2,Medium
484,10x - 8 = 42,x = 5,Medium
485,11x + 18 = -26,x = -4,Medium
486,13x - 12 = 66,x = 6,Medium
487,13x + 3 = 42,x = 3,Medium
488,7x - 2 = -58,x = -8,Medium
489,14x - 12 = 58,x = 5,Medium
490,12x - 8 = -104,x = -8,Medium
491,13x + 7 = -84,x = -7,Medium
493,3x - 5 = -5,x = 0,Medium
494,7x - 7 = 0,x = 1,Medium
495,14x - 16 = -100,x = -6,Medium
496,13x + 5 = -112,x = -9,Medium
497,4x + 5 = -15,x = -5,Medium
498,14x + 2 = 44,x = 3,Medium
499,5x - 5 = -40,x = -7,Medium
500,6x + 2 = 26,x = 4,Medium
501,9x - 12 = -39,x = -3,Medium
502,14x + 7 = 147,x = 10,Medium
503,8x + 18 = 74,x = 7,Medium
504,13x - 18 = -148,x = -10,Medium
505,3x - 17 = -20,x = -1,Medium
506,13x - 18 = 112,x = 10,Medium
507,14x - 6 = 134,x = 10,Medium
508,11x + 6 = -104,x = -10,Medium
509,14x + 15 = 15,x = 0,Medium
510,6x + 4 = -32,x = -6,Medium
511,4x - 17 = -5,x = 3,Medium
512,11x + 8 = -36,x = -4,Medium
513,11x + 0 = -99,x = -9,Medium
514,7x + 20 = 34,x = 2,Medium
515,15x + 8 = 98,x = 6,Medium
516,4x + 7 = 27,x = 5,Medium
517,2x - 15 = 1,x = 8,Medium
518,7x - 19 = 51,x = 10,Medium
519,14x + 15 = -97,x = -8,Medium
520,8x - 4 = -44,x = -5,Medium
521,14x + 10 = -60,x = -5,Medium
522,6x + 4 = -26,x = -5,Medium
523,10x - 10 = 20,x = 3,Medium
524,2x - 7 = 5,x = 6,Medium
525,5x - 9 = 31,x = 8,Medium
