,Equation,Solution,Difficulty
526,5x - 14 = -64,x = -10,Medium
527,9x - 17 = -71,x = -6,Medium
528,8x + 5 = 45,x = 5,Medium
529,5x - 15 = -65,x = -10,Medium
530,8x - 17 = -17,x = 0,Medium
531,2x + 19 = 39,x = 10,Medium
532,2x - 6 = 8,x = 7,Medium
533,3x - 15 = 6,x = 7,Medium
534,10x + 14 = 44,x = 3,Medium
535,13x + 9 = 22,x = 1,Medium
536,9x + 16 = -65,x = -9,Medium
537,9x + 0 = -72,x = -8,Medium
538,2x + 19 = 5,x = -7,Medium
539,2x - 20 = -34,x = -7,Medium
540,15x - 10 = -145,x = -9,Medium
542,15x + 8 = -22,x = -2,Medium
543,4x - 7 = -15,x = -2,Medium
544,2x - 16 = -8,x = 4,Medium
545,4x - 13 = 7,x = 5,Medium
546,15x + 14 = 74,x = 4,Medium
547,10x - 16 = 14,x = 3,Medium
548,11x - 6 = -72,x = -6,Medium
549,8x + 19 = 11,x = -1,Medium
550,7x - 6 = 8,x = 2,Medium
551,14x + 6 = 20,x = 1,Medium
552,6x + 14 = -46,x = -10,Medium
553,6x + 2 = 2,x = 0,Medium
554,2x - 8 = -20,x = -6,Medium
555,12x + 20 = -16,x = -3,Medium
556,11x - 17 = 82,x = 9,Medium
557,13x + 1 = -25,x = -2,Medium
558,13x - 18 = 34,x = 4,Medium
559,14x + 6 = -36,x = -3,Medium
560,15x + 12 = -123,x = -9,Medium
561,10x + 1 = 81,x = 8,Medium
562,3x - 3 = 27,x = 10,Medium
563,3x + 18 = 39,x = 7,Medium
564,7x - 9 = -65,x = -8,Medium
565,11x - 7 = 70,x = 7,Medium
566,10x - 18 = -98,x = -8,Medium
567,6x - 15 = -39,x = -4,Medium
568,11x + 7 = -92,x = -9,Medium
569,13x - 3 = -94,x = -7,Medium
570,6x - 4 = 14,x = 3,Medium
571,9x - 18 = 36,x = 6,Medium
572,9x - 15 = 21,x = 4,Medium
573,3x - 5 = -2,x = 1,Medium
574,6x + 12 = 0,x = -2,Medium
575,12x + 10 = -110,x = -10,Medium
576,8x - 20 = 36,x = 7,Medium
577,12x + 8 = 8,x = 0,Medium
578,3x + 5 = 20,x = 5,Medium
579,12x - 19 = 5,x = 2,Medium
580,12x + 17 = 89,x = 6,Medium
581,9x + 16 = -11,x = -3,Medium
582,2x - 18 = -18,x = 0,Medium
583,14x + 4 = -38,x = -3,Medium
584,5x - 13 = 17,x = 6,Medium
585,10x - 10 = 0,x = 1,Medium
586,6x + 20 = 2,x = -3,Medium
587,9x + 10 = 55,x = 5,Medium
588,3x + 16 = 28,x = 4,Medium
589,15x + 16 = 1,x = -1,Medium
590,5x + 2 = -3,x = -1,Medium
591,3x - 14 = -5,x = 3,Medium
592,4x - 2 = 34,x = 9,Medium
593,6x - 2 = -32,x = -5,Medium
594,7x - 2 = -30,x = -4,Medium
595,4x + 12 = 52,x = 10,Medium
596,2x + 2 = 22,x = 10,Medium
597,5x - 10 = -5,x = 1,Medium
598,3x - 18 = 9,x = 9,Medium
599,15x + 9 = 144,x = 9,Medium
600,9x - 5 = 76,x = 9,Medium
602,10x + 10 = -60,x = -7,Medium
603,15x + 2 = 47,x = 3,Medium
604,8x - 20 = 60,x = 10,Medium
605,14x - 4 = 80,x = 6,Medium
606,8x - 10 = -58,x = -6,Medium
607,9x - 12 = -84,x = -8,Medium
608,11x - 11 = -55,x = -4,Medium
609,5x - 19 = 11,x = 6,Medium
610,4x - 18 = -18,x = 0,Medium
611,5x + 14 = -11,x = -5,Medium
612,8x - 7 = 49,x = 7,Medium
613,13x + 3 = -36,x = -3,Medium
614,15x - 1 = 29,x = 2,Medium
615,9x - 19 = -91,x = -8,Medium
616,11x - 4 = -15,x = -1,Medium
617,2x - 12 = 4,x = 8,Medium
618,15x + 14 = 44,x = 2,Medium
619,15x - 19 = 71,x = 6,Medium
620,7x - 20 = -20,x = 0,Medium
621,9x - 2 = 7,x = 1,Medium
622,13x + 17 = 69,x = 4,Medium
623,14x + 19 = -93,x = -8,Medium
624,13x - 14 = 103,x = 9,Medium
625,14x - 14 = 14,x = 2,Medium
626,5x - 13 = 32,x = 9,Medium
627,14x - 4 = 24,x = 2,Medium
628,5x - 18 = -68,x = -10,Medium
629,14x + 8 = 36,x = 2,Medium
630,4x + 19 = 7,x = -3,Medium
631,14x - 7 = 105,x = 8,Medium
632,15x - 16 = -91,x = -5,Medium
633,7x - 10 = 4,x = 2,Medium
634,2x + 0 = -14,x = -7,Medium
635,8x + 14 = 62,x = 6,Medium
636,3x + 9 = 9,x = 0,Medium
637,3x + 20 = 17,x = -1,Medium
638,14x + 11 = 53,x = 3,Medium
639,5x + 16 = -14,x = -6,Medium
640,13x - 11 = 54,x = 5,Medium
641,10x + 10 = -10,x = -2,Medium
642,10x - 5 = 15,x = 2,Medium
643,2x - 18 = -16,x = 1,Medium
644,14x - 13 = 99,x = 8,Medium
645,15x + 4 = -26,x = -2,Medium
646,2x + 3 = -11,x = -7,Medium
647,12x - 16 = -136,x = -10,Medium
648,7x + 7 = 77,x = 10,Medium
649,6x - 5 = -29,x = -4,Medium
650,15x + 20 = -40,x = -4,Medium
651,7x - 2 = -65,x = -9,Medium
652,2x + 4 = 22,x = 9,Medium
653,11x + 2 = -108,x = -10,Medium
654,9x - 3 = 33,x = 4,Medium
655,15x - 18 = 57,x = 5,Medium
656,12x + 12 = 24,x = 1,Medium
657,13x + 19 = 110,x = 7,Medium
658,2x + 3 = 23,x = 10,Medium
659,2x - 14 = -6,x = 4,Medium
660,4x - 15 = -23,x = -2,Medium
661,14x - 5 = 79,x = 6,Medium
662,3x + 0 = -6,x = -2,Medium
663,5x - 13 = -53,x = -8,Medium
664,2x + 1 = 19,x = 9,Medium
665,9x - 10 = 26,x = 4,Medium
666,6x - 4 = 50,x = 9,Medium
667,14x - 20 = -76,x = -4,Medium
668,8x - 11 = -83,x = -9,Medium
669,3x + 10 = 16,x = 2,Medium
670,4x - 16 = 12,x = 7,Medium
671,2x - 8 = -8,x = 0,Medium
672,12x - 8 = 100,x = 9,Medium
673,9x + 15 = -21,x = -4,Medium
674,11x + 16 = -72,x = -8,Medium
675,9x + 18 = 27,x = 1,Medium
676,6x + 19 = 7,x = -2,Medium
677,9x + 11 = 56,x = 5,Medium
678,4x + 15 = 39,x = 6,Medium
679,5x + 7 = -38,x = -9,Medium
681,5x + 7 = 27,x = 4,Medium
682,2x + 13 = -5,x = -9,Medium
683,4x - 13 = -33,x = -5,Medium
684,7x - 15 = -15,x = 0,Medium
685,9x + 17 = 80,x = 7,Medium
686,15x + 7 = 82,x = 5,Medium
687,9x - 16 = -106,x = -10,Medium
688,13x + 2 = 80,x = 6,Medium
689,15x + 4 = -146,x = -10,Medium
690,5x + 17 = 2,x = -3,Medium
691,14x - 18 = -46,x = -2,Medium
692,9x - 19 = 44,x = 7,Medium
693,15x - 3 = -108,x = -7,Medium
694,14x + 17 = 143,x = 9,Medium
695,8x + 5 = -59,x = -8,Medium
696,9x - 19 = -109,x = -10,Medium
697,15x - 5 = -50,x = -3,Medium
698,3x + 14 = 20,x = 2,Medium
699,7x + 8 = -27,x = -5,Medium
700,15x + 50 = 95,x = 3,Hard
701,5x + 28 = 3,x = -5,Hard
702,7x - 10 = -31,x = -3,Hard
703,18x - 11 = -245,x = -13,Hard
704,15x - 28 = -43,x = -1,Hard
705,17x - 47 = 123,x = 10,Hard
706,17x + 26 = 196,x = 10,Hard
707,20x + 29 = 409,x = 19,Hard
708,12x - 50 = 70,x = 10,Hard
709,17x + 49 = -189,x = -14,Hard
710,7x + 6 = -106,x = -16,Hard
711,9x - 34 = -61,x = -3,Hard
712,15x - 19 = -244,x = -15,Hard
713,8x - 25 = 15,x = 5,Hard
714,7x - 43 = 41,x = 12,Hard
715,7x + 36 = -20,x = -8,Hard
716,11x + 7 = -158,x = -15,Hard
717,6x + 44 = 50,x = 1,Hard
718,11x - 44 = 110,x = 14,Hard
719,17x + 24 = -78,x = -6,Hard
720,17x + 24 = -129,x = -9,Hard
721,16x - 45 = -109,x = -4,Hard
722,5x - 1 = -36,x = -7,Hard
723,17x - 24 = -126,x = -6,Hard
724,17x + 16 = 50,x = 2,Hard
725,14x - 25 = -137,x = -8,Hard
726,14x - 37 = -79,x = -3,Hard
727,12x - 23 = 217,x = 20,Hard
728,8x + 32 = 24,x = -1,Hard
729,9x - 19 = 44,x = 7,Hard
730,19x + 17 = 150,x = 7,Hard
731,8x - 4 = -84,x = -10,Hard
732,18x - 8 = -62,x = -3,Hard
733,10x + 35 = -135,x = -17,Hard
734,12x - 34 = -142,x = -9,Hard
735,7x + 40 = 145,x = 15,Hard
736,12x - 41 = -41,x = 0,Hard
737,17x - 10 = 126,x = 8,Hard
738,11x + 13 = 222,x = 19,Hard
739,13x - 40 = -105,x = -5,Hard
740,10x - 10 = -210,x = -20,Hard
741,20x - 20 = 100,x = 6,Hard
742,7x - 47 = -33,x = 2,Hard
743,10x - 7 = 3,x = 1,Hard
744,17x - 45 = 125,x = 10,Hard
745,15x + 32 = 92,x = 4,Hard
746,8x - 27 = 69,x = 12,Hard
747,14x - 19 = -271,x = -18,Hard
748,17x + 49 = -138,x = -11,Hard
749,9x + 35 = 125,x = 10,Hard
750,16x - 11 = -75,x = -4,Hard
751,10x - 50 = 0,x = 5,Hard
752,6x + 44 = 44,x = 0,Hard
753,7x - 17 = -24,x = -1,Hard
754,15x - 45 = -210,x = -11,Hard
755,11x - 39 = -248,x = -19,Hard
756,8x + 5 = 21,x = 2,Hard
757,20x - 42 = 58,x = 5,Hard
758,8x - 13 = -109,x = -12,Hard
759,20x - 31 = -111,x = -4,Hard
760,11x + 11 = 55,x = 4,Hard
761,18x + 14 = 248,x = 13,Hard
762,6x - 30 = 12,x = 7,Hard
763,6x + 38 = -58,x = -16,Hard
764,6x - 43 = -97,x = -9,Hard
765,12x - 19 = 65,x = 7,Hard
766,15x + 26 = 116,x = 6,Hard
767,16x - 20 = 236,x = 16,Hard
768,20x + 17 = 277,x = 13,Hard
769,16x + 1 = -239,x = -15,Hard
770,7x - 30 = -51,x = -3,Hard
771,14x + 44 = 114,x = 5,Hard
772,18x - 38 = -362,x = -18,Hard
773,5x - 28 = -103,x = -15,Hard
774,10x - 46 = -206,x = -16,Hard
775,16x - 20 = 300,x = 20,Hard
776,6x + 4 = -26,x = -5,Hard
777,13x - 17 = -95,x = -6,Hard
778,5x - 1 = -61,x = -12,Hard
779,8x - 26 = -82,x = -7,Hard
780,18x + 6 = -210,x = -12,Hard
781,13x - 39 = -130,x = -7,Hard
782,17x - 10 = 58,x = 4,Hard
783,7x - 47 = 23,x = 10,Hard
784,14x - 4 = 178,x = 13,Hard
785,5x - 31 = 64,x = 19,Hard
786,11x - 18 = -128,x = -10,Hard
787,18x + 37 = -71,x = -6,Hard
788,9x + 25 = 160,x = 15,Hard
789,16x - 5 = 251,x = 16,Hard
790,16x - 30 = -174,x = -9,Hard
791,17x + 13 = -38,x = -3,Hard
792,14x - 6 = 8,x = 1,Hard
793,15x - 45 = -195,x = -10,Hard
794,19x - 31 = -259,x = -12,Hard
795,17x - 12 = 175,x = 11,Hard
796,17x + 16 = 152,x = 8,Hard
797,18x - 44 = 82,x = 7,Hard
798,17x + 42 = -128,x = -10,Hard
799,11x + 35 = 79,x = 4,Hard
800,12x - 25 = -121,x = -8,Hard
801,10x + 2 = -178,x = -18,Hard
802,12x - 42 = 162,x = 17,Hard
803,20x + 13 = 373,x = 18,Hard
804,17x + 1 = 86,x = 5,Hard
805,13x - 11 = 171,x = 14,Hard
806,17x + 20 = -31,x = -3,Hard
807,11x + 46 = 35,x = -1,Hard
808,15x + 19 = -86,x = -7,Hard
809,15x + 33 = 273,x = 16,Hard
810,16x + 38 = 214,x = 11,Hard
811,14x + 31 = 311,x = 20,Hard
812,12x - 13 = -61,x = -4,Hard
813,10x - 45 = -35,x = 1,Hard
814,19x - 16 = 269,x = 15,Hard
815,19x - 33 = -71,x = -2,Hard
816,5x - 4 = -49,x = -9,Hard
817,8x + 44 = 12,x = -4,Hard
818,11x - 43 = 56,x = 9,Hard
819,16x - 2 = 30,x = 2,Hard
820,19x + 22 = -16,x = -2,Hard
821,17x - 3 = -37,x = -2,Hard
822,15x + 3 = -192,x = -13,Hard
823,12x - 29 = -137,x = -9,Hard
824,17x + 21 = 38,x = 1,Hard
825,9x - 17 = -161,x = -16,Hard
826,11x - 25 = -234,x = -19,Hard
827,17x + 46 = 148,x = 6,Hard
828,9x + 46 = -80,x = -14,Hard
829,12x - 23 = 97,x = 10,Hard
830,8x - 22 = 90,x = 14,Hard
831,16x + 12 = 156,x = 9,Hard
832,5x + 8 = 38,x = 6,Hard
833,11x + 40 = 18,x = -2,Hard
834,10x + 25 = 65,x = 4,Hard
835,11x - 33 = -242,x = -19,Hard
836,10x + 44 = 54,x = 1,Hard
837,8x + 39 = -41,x = -10,Hard
838,5x - 29 = 71,x = 20,Hard
839,5x - 22 = 73,x = 19,Hard
840,9x + 12 = 39,x = 3,Hard
841,15x + 19 = 49,x = 2,Hard
842,7x - 4 = -67,x = -9,Hard
843,13x + 8 = -135,x = -11,Hard
844,10x + 48 = 58,x = 1,Hard
845,19x - 7 = 126,x = 7,Hard
846,5x + 18 = 53,x = 7,Hard
847,17x - 35 = 50,x = 5,Hard
848,13x + 7 = -19,x = -2,Hard
849,18x + 18 = -144,x = -9,Hard
850,8x + 48 = -112,x = -20,Hard
851,12x + 46 = 106,x = 5,Hard
852,10x + 15 = -125,x = -14,Hard
853,7x - 4 = 31,x = 5,Hard
854,13x - 34 = -34,x = 0,Hard
855,17x + 5 = 141,x = 8,Hard
856,12x - 7 = -19,x = -1,Hard
857,16x + 16 = -48,x = -4,Hard
858,15x - 12 = 123,x = 9,Hard
859,19x + 19 = -342,x = -19,Hard
860,19x + 47 = 256,x = 11,Hard
861,9x - 4 = 68,x = 8,Hard
862,20x - 27 = -47,x = -1,Hard
863,19x + 3 = -73,x = -4,Hard
864,7x + 30 = -103,x = -19,Hard
865,6x + 1 = 73,x = 12,Hard
866,19x - 42 = -213,x = -9,Hard
867,5x + 42 = 77,x = 7,Hard
868,14x - 16 = -198,x = -13,Hard
869,19x - 24 = -290,x = -14,Hard
870,12x + 41 = 257,x = 18,Hard
871,17x - 2 = 304,x = 18,Hard
872,12x - 11 = -203,x = -16,Hard
873,8x + 7 = -113,x = -15,Hard
874,16x - 30 = -318,x = -18,Hard
875,14x + 15 = 15,x = 0,Hard
876,5x + 31 = 31,x = 0,Hard
877,13x - 24 = -271,x = -19,Hard
878,11x + 29 = 216,x = 17,Hard
879,13x - 15 = -28,x = -1,Hard
880,13x + 12 = 233,x = 17,Hard
881,16x - 1 = 207,x = 13,Hard
882,7x + 38 = -88,x = -18,Hard
883,16x - 26 = 134,x = 10,Hard
884,16x - 17 = -1,x = 1,Hard
885,8x + 10 = 146,x = 17,Hard
886,19x + 47 = 66,x = 1,Hard
887,18x - 1 = 269,x = 15,Hard
888,6x - 9 = 45,x = 9,Hard
889,11x - 50 = 49,x = 9,Hard
890,16x + 24 = 24,x = 0,Hard
891,6x + 41 = -37,x = -13,Hard
892,16x - 50 = 30,x = 5,Hard
893,6x + 41 = 125,x = 14,Hard
894,11x + 7 = -48,x = -5,Hard
895,5x + 21 = 61,x = 8,Hard
896,8x - 15 = 41,x = 7,Hard
897,20x - 33 = 207,x = 12,Hard
898,13x - 7 = -20,x = -1,Hard
899,19x - 37 = 172,x = 11,Hard
900,9x + 36 = 54,x = 2,Hard
901,17x + 39 = -63,x = -6,Hard
902,9x - 36 = 144,x = 20,Hard
903,15x + 40 = 115,x = 5,Hard
904,18x - 41 = 301,x = 19,Hard
905,18x + 25 = -137,x = -9,Hard
906,10x - 47 = -57,x = -1,Hard
907,6x - 4 = 116,x = 20,Hard
908,13x + 17 = -35,x = -4,Hard
909,20x + 39 = -261,x = -15,Hard
910,12x + 4 = -224,x = -19,Hard
911,14x - 14 = -112,x = -7,Hard
912,20x + 27 = -53,x = -4,Hard
913,9x - 37 = 62,x = 11,Hard
914,6x + 42 = 66,x = 4,Hard
915,5x - 18 = 82,x = 20,Hard
916,10x + 41 = -119,x = -16,Hard
917,10x - 50 = -230,x = -18,Hard
918,13x - 2 = -184,x = -14,Hard
919,15x + 26 = -214,x = -16,Hard
920,14x - 8 = -106,x = -7,Hard
921,14x + 28 = 168,x = 10,Hard
922,19x - 29 = -29,x = 0,Hard
923,14x - 45 = -115,x = -5,Hard
924,12x - 6 = -42,x = -3,Hard
925,19x - 20 = -1,x = 1,Hard
926,13x + 38 = 90,x = 4,Hard
927,8x + 50 = 154,x = 13,Hard
928,18x + 40 = -68,x = -6,Hard
929,18x - 21 = 213,x = 13,Hard
930,5x + 26 = -59,x = -17,Hard
931,7x + 3 = -67,x = -10,Hard
932,5x - 27 = -77,x = -10,Hard
933,14x - 4 = -186,x = -13,Hard
934,18x + 40 = 148,x = 6,Hard
935,8x - 16 = -96,x = -10,Hard
936,20x + 17 = 397,x = 19,Hard
937,20x + 26 = -274,x = -15,Hard
938,16x - 32 = -32,x = 0,Hard
939,16x + 41 = -7,x = -3,Hard
940,10x - 33 = -123,x = -9,Hard
941,13x + 10 = 257,x = 19,Hard
942,17x + 8 = 212,x = 12,Hard
943,13x + 36 = 153,x = 9,Hard
944,20x - 41 = -41,x = 0,Hard
945,11x - 5 = -159,x = -14,Hard
946,10x + 5 = 65,x = 6,Hard
947,20x + 19 = 219,x = 10,Hard
948,17x - 7 = -109,x = -6,Hard
949,18x - 6 = -60,x = -3,Hard
950,8x - 15 = 73,x = 11,Hard
951,7x - 13 = -48,x = -5,Hard
952,11x + 12 = 34,x = 2,Hard
953,15x - 19 = -34,x = -1,Hard
954,6x - 39 = 57,x = 16,Hard
955,15x + 1 = 196,x = 13,Hard
956,8x - 47 = -7,x = 5,Hard
957,7x + 22 = -62,x = -12,Hard
958,18x + 20 = 326,x = 17,Hard
959,5x - 36 = -136,x = -20,Hard
960,19x + 37 = 360,x = 17,Hard
961,19x - 6 = -63,x = -3,Hard
962,18x + 0 = 162,x = 9,Hard
963,14x - 5 = -5,x = 0,Hard
964,9x + 33 = 60,x = 3,Hard
965,19x + 36 = 321,x = 15,Hard
966,19x + 1 = 343,x = 18,Hard
967,14x - 32 = 108,x = 10,Hard
968,14x - 14 = 182,x = 14,Hard
969,7x - 16 = -86,x = -10,Hard
970,6x + 36 = -72,x = -18,Hard
971,6x + 22 = 70,x = 8,Hard
972,9x - 45 = -207,x = -18,Hard
973,18x + 31 = 265,x = 13,Hard
974,16x + 14 = 286,x = 17,Hard
975,11x - 5 = 83,x = 8,Hard
976,10x + 17 = 127,x = 11,Hard
977,12x + 2 = -130,x = -11,Hard
978,12x + 49 = -47,x = -8,Hard
979,15x - 28 = 242,x = 18,Hard
980,7x - 23 = -51,x = -4,Hard
981,16x - 45 = 179,x = 14,Hard
982,12x + 45 = 177,x = 11,Hard
983,14x - 3 = 53,x = 4,Hard
984,7x - 14 = 77,x = 13,Hard
985,15x + 27 = -3,x = -2,Hard
986,12x - 14 = 22,x = 3,Hard
987,18x - 38 = -380,x = -19,Hard
988,12x + 25 = -167,x = -16,Hard
989,17x - 15 = -168,x = -9,Hard
990,18x + 8 = 116,x = 6,Hard
991,8x - 6 = -62,x = -7,Hard
992,19x + 13 = -196,x = -11,Hard
993,17x - 17 = -204,x = -11,Hard
994,11x - 31 = -218,x = -17,Hard
995,15x - 6 = 204,x = 14,Hard
996,13x - 1 = -248,x = -19,Hard
997,11x - 15 = -202,x = -17,Hard
998,8x - 25 = -113,x = -11,Hard
999,20x + 7 = 247,x = 12,Hard
